model_or_submission_name,public_lb_score,oof_hepatic_cindex,oof_death_cindex,oof_weighted_score,cv_method,notes
landmark_3y_RSF (standalone),,0.7783,,,5×10 stratified hepatic,"Tier 2 RSF on landmark_3y (filter A, full cohort). Component of phase2_blend_2way_optimal."
permissive_ensemble_avg (standalone),,0.8068,,,5×10 stratified hepatic,Tier 4 mean-of-ranks: rsf_longitudinal_summary + xgb_cox_longitudinal_plus_meta + xgb_cox_longitudinal_summary.
xgb_cox_death_longitudinal_summary (standalone),,,0.9524,,5×10 stratified death,"Death predictor used in all Phase 2 submissions (n_estimators=300, learning_rate=0.05)."
phase2_blend_2way_optimal,0.8965,0.8137,0.9524,0.8553,5×10 stratified hepatic,Champion. 30/70 OOF-stacked rank blend.
phase1_ensemble,0.798559,,,,5×10 stratified hepatic,OOF not reconstructed for this submission.
phase2_strict_leaky_probe,0.692,,,,5×10 stratified hepatic,OOF not reconstructed for this submission.
phase2_honest_ensemble,0.7509,,,,5×10 stratified hepatic,OOF not reconstructed for this submission.
phase2_landmark_3y,0.8109,,,,5×10 stratified hepatic,OOF not reconstructed for this submission.
phase2_blend_landmark_permissive,0.88033,,,,5×10 stratified hepatic,OOF not reconstructed for this submission.
phase2_landmark_multi,0.81,,,,5×10 stratified hepatic,OOF not reconstructed for this submission.
phase2_blend_3way,0.829,,,,5×10 stratified hepatic,OOF not reconstructed for this submission.
phase2_blend_2way_strongpermissive,0.8867,,,,5×10 stratified hepatic,OOF not reconstructed for this submission.
phase3_blend_with_crossfeatures,0.872,,,,5×10 stratified hepatic,OOF not reconstructed for this submission.
